"Size";"add(T)";"add(int, T)";"addAll(Collection<T>)";"addAll(int, Collection<T>)";"clear()";"contains(T)";"containsAll(List<T>)";"get(int)";"indexOf(Object)";"isEmpty()";"iterator().next()";"listIterator().add(T)";"listIterator().set(T)";"listIterator().remove()";"lastIndexOf(Object)";"remove(int)";"remove(T)";"removeAll(Collection<T>)";"retainAll(Collection<T>)";"set(int, T)";"size()";"subList(int, int)";"toArray()";"equals(Object)";"hashCode()";"toString()"
10000;28043;3914409;4100;3938;8801;22369231;46290;5448;25587242;4228;8216;35851;20799;3979557;23931012;30219;3920517;73599;80115;24739;4063;4221;5576;12218;13440;169478
20000;51023;15642871;7628;7692;16404;22509943;71255;9928;25420518;8383;15376;65039;39709;15996085;68059768;61440;15593468;155117;158043;48707;7899;8222;10815;24170;27043;339433
30000;76815;35563391;11595;11669;18764;22056053;101329;14777;25286485;12101;23089;95835;58260;35235878;112087265;98844;35260577;244620;244945;72463;11658;12113;15943;36991;39625;480222
40000;103375;67057632;16937;17515;26397;22396002;133145;21112;25158611;17122;31276;128893;77257;65434955;156806351;118558;65448044;301701;316948;98540;17062;17269;24729;49517;58580;652061
50000;131346;108857325;23718;21281;33471;22439454;163971;27709;24701822;24976;42389;162972;96933;106423673;201502260;152479;106753842;404504;406966;123568;22797;24760;28798;63135;73663;860707
70000;174424;218477782;30097;29831;46342;22366365;224177;37012;24507655;31082;54244;219703;139089;216727657;288345127;274857;216758795;523509;571920;173732;30177;29520;41428;87851;95002;1114964
80000;208832;287574081;35692;35851;54447;22349725;257529;43284;24301401;35946;63166;256476;159505;284763156;335475019;239994;284597615;596809;589516;200064;36264;35420;47850;101434;108425;1258863
90000;233120;365434486;38249;37970;59760;22490044;286080;47704;24426051;41674;70362;286006;174061;363157958;375626306;268522;362193575;677997;815558;227002;38254;38144;51972;112446;124864;1167875
100000;251181;453259900;46013;42240;65358;22519770;317456;54378;25199870;43627;80698;322260;195834;453908742;419573258;299268;471345103;749875;746158;251542;42473;42769;58782;124507;144399;1643527
