"Size";"add(T)";"add(int, T)";"addAll(Collection<T>)";"addAll(int, Collection<T>)";"clear()";"contains(T)";"containsAll(List<T>)";"get(int)";"indexOf(Object)";"isEmpty()";"iterator().next()";"listIterator().add(T)";"listIterator().set(T)";"listIterator().remove()";"lastIndexOf(Object)";"remove(int)";"remove(T)";"removeAll(Collection<T>)";"retainAll(Collection<T>)";"set(int, T)";"size()";"subList(int, int)";"toArray()";"equals(Object)";"hashCode()";"toString()"
0;124;75;825;816;342;49;3983;75;91;483;52325;91;591;183;83;108;58;15408;2166;100;250;1817;2783;383;383;723700
1000;75941;187500;74908;35158;366;717933;662425;21692;561708;141;43641;72183;90266;1433199;1127967;32333;1058249;153783;159008;37841;125;1891;2233;225;66449;399000
2500;38883;297600;14808;17666;1183;1266283;249991;14391;1258158;108;42149;65250;95799;4312833;1248733;19033;3985799;594983;195508;29441;25;4808;3433;3183;98958;340408
5000;104133;1154567;11224;11758;249;4860075;282249;54891;5225091;299;110291;119150;154316;16214383;4974983;62341;19296900;402475;218483;115233;149;4958;7941;1275;85366;403049
7500;92758;2420391;17916;17016;825;11964908;248891;119241;12453817;300;195191;213308;436783;35484391;11790641;34758;34011500;118258;89249;56908;16;5941;7291;1408;22500;323599
10000;113266;4047383;27683;32875;100;26923691;257808;66;27625741;4974;104066;238883;380283;68250208;22857016;60600;80126725;125541;93349;92308;41;9842;21050;3116;22483;421716
25000;152983;24875800;60958;64633;16;184950891;261766;74;195432758;1658;41;195792;100841;469881883;135151016;83475;517157358;241975;215966;120474;8;13099;22683;600;53950;1081791
50000;204900;107439425;109016;111000;8;714840741;256675;91;755750274;2241;33;312908;143091;1870951683;529119000;129316;2053240608;323649;364983;171199;8;19024;33408;833;101324;2069341
100000;429366;470034858;229375;222891;8;2873053925;254175;75;2997440425;3758;50;639016;581025;7468679150;2130189950;286658;8268341324;717600;803441;344183;16;29133;60616;958;206833;3697249
