"Size";"constructor()";"constructor(int)";"constructor(Collection)";"add(T)";"add(int, T)";"addAll(Collection<T>)";"addAll(int, Collection<T>)";"clear()";"contains(T)";"containsAll(List<T>)";"get(int)";"indexOf(Object)";"isEmpty()";"iterator().next()";"listIterator().add(T)";"listIterator().set(T)";"listIterator().remove()";"lastIndexOf(Object)";"remove(int)";"remove(T)";"removeAll(Collection<T>)";"retainAll(Collection<T>)";"set(int, T)";"size()";"subList(int, int)";"toArray()";"equals(Object)";"hashCode()";"toString()"
10000;18;453;1402;28131;3887340;2751;2851;3740;23694321;233157;2546;23025035;1163;4918;35385;21175;3885253;23424351;13808;3887464;14144383;14223796;19937;1164;1195;2761;6679;10252;145143
20000;22;1037;2227;52476;15559481;5214;5140;7094;23706177;234194;4754;23085706;2688;8312;64654;41348;15443797;67373388;27639;15494643;65780358;66627590;35850;2300;2220;5217;12979;20514;287006
30000;25;1112;3597;77510;35207947;8150;8190;11074;23499905;235671;6440;22868459;3484;12719;96204;61958;34937135;111552106;41189;35085406;145027048;147469136;48553;3383;3341;7521;19628;30405;439580
40000;23;1420;5678;103433;65762510;11429;11414;15619;23758482;236240;9812;23098682;5682;17570;128632;82894;64915236;156162632;54858;65628220;252142581;259732787;69844;5119;4488;10478;27310;41922;510577
50000;26;2237;6547;131752;107674408;16379;15422;19353;23778382;239098;11539;23150640;6769;21849;163584;104297;106116933;200285428;69255;107015400;398580736;405321167;87551;6750;7153;15496;33269;51986;717231
70000;33;3142;8850;170516;218501813;20025;19313;26430;23663391;240772;15527;23134725;8761;29173;219301;144972;215973230;285321067;91677;217061712;766992158;780881996;135269;8689;8914;18286;46549;72202;991648
80000;25;2880;10414;203492;287296837;24142;25176;30147;23741604;242511;19068;23253120;10259;33629;255686;166711;284449479;332399831;105260;285615727;1011028046;1026406146;120875;10287;10826;22753;54638;82902;1171826
90000;25;3703;11167;224239;365627230;25808;26181;32646;23758961;242854;20935;23139435;10980;37239;283937;188451;361390208;368233492;118101;363603314;1274144750;1289446142;149474;11900;11781;22676;60597;93563;1352391
100000;29;4554;13078;248988;453062767;28964;28912;36516;23805802;241873;21925;23293711;11603;42152;313062;209019;447850483;417678594;129906;451713206;1591696650;1602500392;163640;12888;12852;26127;65546;104779;1497434
